#,Lender Name,Done,Website,Contact Name,Linkedin Profile,Contact E-Mail,Contact Phone,Lender Type,CRE - Construction,CRE-Residential,CRE - Land,CRE - Office,CRE - Industrial,CRE - Hotel,CRE - Retail,CRE - Other,Real Estate,Aircraft,Art,Insurance Premium,Yacht,Sports,Fund - LP,Fund - NAV,Fund - GP,Fund - Mgmt Company,Fund - SCF,Other Financing (specify),Senior,Subbordinated,Recourse,Non-recourse,Based In,Geographic Coverage,"Lender Location (City, State, Country)",Note
15,Ironside Finance,,https://www.ironsidefinance.com,Thomas Miller,https://www.linkedin.com/company/ironsidefinance,thomas.miller@ironsidefinance.com,+1 (347) 206-3615,Private Credit Fund,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,NY,Domestic,"New York, NY, USA","Apollo Can do different type of loans, we were introduced by Adam (see MidCap) and met in person with Derek on January 23, 2025 at his office in NY."
16,Summit Credit Union,,https://www.summitcreditunion.com,Elena Moore,https://www.linkedin.com/company/summitcreditunion,elena.moore@summitcreditunion.com,+1 (786) 914-7924,Regional Bank,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Commercial mortgages (multifamily/office/retail),",1,1,0,0,NY,Domestic,"New York, NY, USA","Stabilized CRE. Focus on low LTV, high DSCR, and debt yield >10%. Can offer terms up to 10 years.
Pricing: SOFR + 200–300 bps. Geographic focus limited to branch footprint: NYC Metro Area, Westchester, and nearby.Borrower does not need to be domiciled in NY.
"
17,Juniper Capital Management,,https://www.junipercapitalmanagement.com,William Jackson,https://www.linkedin.com/company/junipercapitalmanagement,william.jackson@junipercapitalmanagement.com,+1 (954) 548-5552,Private Credit Fund,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,NY,Domestic,"Uniondale, NY, USA","Bridge, mezz and pref mainly for Multifamily"
18,Kingswood Credit,,https://www.kingswoodcredit.com,Sophia Martin,https://www.linkedin.com/company/kingswoodcredit,sophia.martin@kingswoodcredit.com,+1 (561) 359-4527,Private Credit Fund,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Art-backed loans / customized credit facilities,1,1,1,0,New York,Global,"New York, NY","Loan value Range: $1-$100M, Estimated Loan Book Size: $100,000,000"
19,Heritage Bank,,https://www.heritagebank.com,Christopher Lee,https://www.linkedin.com/company/heritagebank,christopher.lee@heritagebank.com,+1 (818) 981-6514,Regional Bank,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,Los Angeles,Domestic,Los Angeles,
20,Lionsgate Funding,,https://www.lionsgatefunding.com,Isabella Perez,https://www.linkedin.com/company/lionsgatefunding,isabella.perez@lionsgatefunding.com,+1 (323) 304-2519,Private Credit Fund,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,"New York, NY, USA",Global,"New, York",big direct tickets o loan on loans para CRE
21,Pioneer Bancorp,,https://www.pioneerbancorp.com,Andrew White,https://www.linkedin.com/company/pioneerbancorp,andrew.white@pioneerbancorp.com,+1 (949) 589-2584,Regional Bank,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,Miami,Domestic,"Miami, FL, USA",
22,Liberty Financial,,https://www.libertyfinancial.com,Natalia Harris,https://www.linkedin.com/company/libertyfinancial,natalia.harris@libertyfinancial.com,+1 (858) 567-6635,Regional Bank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,California,,,They lend on variety of CRE property types. We have the construction criteria document.
23,Eagle Trust,,https://www.eagletrust.com,Matthew Clark,https://www.linkedin.com/company/eagletrust,matthew.clark@eagletrust.com,+1 (619) 818-5333,Regional Bank,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,CA,Domestic,"Santa Ana, CA",
24,Cornerstone Savings Bank,,https://www.cornerstonesavingsbank.com,Valentina Lewis,https://www.linkedin.com/company/cornerstonesavingsbank,valentina.lewis@cornerstonesavingsbank.com,+1 (503) 244-8527,Regional Bank,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Miami,Domestic,"Miami, FL, USA",
25,Meridian Credit Union,,https://www.meridiancreditunion.com,Joshua Robinson,https://www.linkedin.com/company/meridiancreditunion,joshua.robinson@meridiancreditunion.com,+1 (206) 749-3045,Regional Bank,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,North Carolina,International,"Charlotte, NC, USA","Fixed-rate loans (~6.7%), up to 30 years, DSCR ≥ 1.20x"
26,Frontier Bank,,https://www.frontierbank.com,Camila Walker,https://www.linkedin.com/company/frontierbank,camila.walker@frontierbank.com,+1 (404) 587-2291,Regional Bank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Venture debt / asset-backed lines for fintechs & growth companies,0,0,0,0,"Madrid, Spain & Mexico",Global,México City (Spark Space CDMX),"Flexible venture debt, startup-friendly terms"
27,Horizon Bancorp,,https://www.horizonbancorp.com,Robert Young,https://www.linkedin.com/company/horizonbancorp,robert.young@horizonbancorp.com,+1 (678) 765-5803,Regional Bank,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CA,Domestic,"Los Angeles, CA, USA",
28,Keystone Financial,,https://www.keystonefinancial.com,Gabriela Allen,https://www.linkedin.com/company/keystonefinancial,gabriela.allen@keystonefinancial.com,+1 (770) 843-6925,Regional Bank,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,"Little Rock, AR, US",Domestic,"Southlake, Texas",Recourse constructions and acquisitions loans for all asset types except hospitals and assisted living.
29,Maven Capital Advisors,,https://www.mavencapitaladvisors.com,John King,https://www.linkedin.com/company/mavencapitaladvisors,john.king@mavencapitaladvisors.com,+1 (704) 791-4150,Private Credit Fund,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,New York,Domestic,"New York, NY, USA","Financing and refinancing  for commercial real estate in the United States, more than USD $500 million in financing.  Focus areas include Texas, Miami, New York."
30,Northpoint Investment Group,,https://www.northpointinvestmentgroup.com,Alejandra Wright,https://www.linkedin.com/company/northpointinvestmentgroup,alejandra.wright@northpointinvestmentgroup.com,+1 (919) 921-2139,Private Credit Fund,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,"Mexico City, Mexico",International,Mexico City,"Short-term SME loans, fintech platform, flexible APR"
31,Vantage Capital Group,,https://www.vantagecapitalgroup.com,Steven Scott,https://www.linkedin.com/company/vantagecapitalgroup,steven.scott@vantagecapitalgroup.com,+1 (202) 246-4733,Other Lender,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"New York, NY, USA",Domestic,"New York, NY, USA","Agency loans (Fannie/Freddie), HUD, bridge loans; terms up to 30 years"
32,Fidelitas Global Advisors,,https://www.fidelitasglobaladvisors.com,Victoria Torres,https://www.linkedin.com/company/fidelitasglobaladvisors,victoria.torres@fidelitasglobaladvisors.com,+1 (301) 991-5741,Global Asset Manager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,"Zurich, Switzerland",Global,"New York, NY","Impact loans, concessional rates, long-term"
33,Pinnacle Trust,,https://www.pinnacletrust.com,Mark Nguyen,https://www.linkedin.com/company/pinnacletrust,mark.nguyen@pinnacletrust.com,+1 (571) 281-4814,Regional Bank,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,"New York, NY, USA",Domestic,"New York, NY, USA",CRE experience in Northeast
34,Obsidian Capital,,https://www.obsidiancapital.com,Andrea Hill,https://www.linkedin.com/company/obsidiancapital,andrea.hill@obsidiancapital.com,+1 (469) 303-7227,Private Credit Fund,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Collector car financing (acquisitions, refi, LOC) secured by vehicles/collections.",0,0,0,0,Michigan,International,California,"Loan value Range: $250k+, Estimated Loan Book Size: $50,000,000.00, Diligence (low 1-5 high)*: ?"
35,Sterling Savings Bank,,https://www.sterlingsavingsbank.com,Brian Flores,https://www.linkedin.com/company/sterlingsavingsbank,brian.flores@sterlingsavingsbank.com,+1 (972) 484-8428,Regional Bank,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"New York, NY, USA",Domestic,"New York, NY","They finance CRE in New York and surrounding areas, specifically office properties in Manhattan.
"
36,Paladin Partners,,https://www.paladinpartners.com,Carolina Green,https://www.linkedin.com/company/paladinpartners,carolina.green@paladinpartners.com,+1 (281) 850-6977,Private Credit Fund,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,"New York, NY, USA",Domestic,"New York, NY, USA",private equity investment firm
37,Quantum Advisors,,https://www.quantumadvisors.com,Kevin Adams,https://www.linkedin.com/company/quantumadvisors,kevin.adams@quantumadvisors.com,+1 (212) 366-7065,Private Credit Fund,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,"New York, NY, USA",Global,"New York, NY, USA",Nick is the head of residential where they can do big facilities for investments in the Resi space. He also heads asset-back lending and they are willing to look at anything big (ideally over $100m) although it seems their current expertise is in a few asset classes such as agricultural & NAV lending. They could be flexible for big amounts. However he mentioned he’s willing to take a look at $25M non-recourse aircraft financing and the Sovereign Wealth Fund transaction.
38,Redstone Asset Management,,https://www.redstoneassetmanagement.com,Paula Nelson,https://www.linkedin.com/company/redstoneassetmanagement,paula.nelson@redstoneassetmanagement.com,+1 (310) 563-4432,Private Credit Fund,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,Luxemburgo,International,Brazil,"Impact-focused credit, ~7–10% IRR targets"
39,Orion Insurance Group,,https://www.orioninsurancegroup.com,Jason Baker,https://www.linkedin.com/company/orioninsurancegroup,jason.baker@orioninsurancegroup.com,+1 (305) 886-5374,Insurance Company,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,"Taipei, Taiwan",International,"Taipei, Taiwan","loan area: Worldwide. loan value range: $5MM - $50MM. estimated book size: $1B. comment: Global Chinese Lender - will consider higher rate,harder to finance deals"
40,Sapphire Investments,,https://www.sapphireinvestments.com,Diana Hall,https://www.linkedin.com/company/sapphireinvestments,diana.hall@sapphireinvestments.com,+1 (312) 918-2169,Private Credit Fund,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Florida ,Domestic,"Miami, FL, USA","Specialty Bridge	.
Loan Amount: $20 - $100 million
Interest Rate: Starting at SOFR + 4.00%
Loan Term: 12 - 48 months, including extensions
Amortization: Interest Only
Security	:First Mortgage Lien or Deed of Trust
Loan-to-Value:Up to 75%
Loan-to-Cost:Up to 80%
Origination/Exit Fees: 1 - 2%
Recourse: Non-recourse
DSCR: Not required
Sponsorship:Flexible, No BK/foreclosures in the past 5 years
Guarantor:No min. liquidity required. Asset-based loans only
Asset Types:All major asset types, including land
Loan Types:Quick closing, new construction, rehabilitation, repositioning, value-add, pre-development, loan purchases"
41,Patriot Credit Union,,https://www.patriotcreditunion.com,Ryan Rivera,https://www.linkedin.com/company/patriotcreditunion,ryan.rivera@patriotcreditunion.com,+1 (415) 823-3803,Regional Bank,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CA,Domestic,"San Diego, CA",
42,Triton Capital Group,,https://www.tritoncapitalgroup.com,Lucia Campbell,https://www.linkedin.com/company/tritoncapitalgroup,lucia.campbell@tritoncapitalgroup.com,+1 (617) 746-5010,Private Credit Fund,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,CA,Domestic,"Los Angeles, CA, USA",
43,Vantage Credit Partners,,https://www.vantagecreditpartners.com,Eric Mitchell,https://www.linkedin.com/company/vantagecreditpartners,eric.mitchell@vantagecreditpartners.com,+1 (713) 367-8573,Private Credit Fund,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,Private debt / structured finance / mezzanine & growth capital,1,1,1,0,"Mexico City, Mexico",Domestic,Mexico City,"PE-style, growth capital, 5–7 year horizons"
44,Gryphon Asset Management,,https://www.gryphonassetmanagement.com,Marina Carter,https://www.linkedin.com/company/gryphonassetmanagement,marina.carter@gryphonassetmanagement.com,+1 (214) 588-5422,Global Asset Manager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,"Lima, Peru",International,"Lima, Peru","Custom M&A and credit structures, local terms"
45,Golden Bank,,https://www.goldenbank.com,Patrick Roberts,https://www.linkedin.com/company/goldenbank,patrick.roberts@goldenbank.com,+1 (602) 855-4598,Regional Bank,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"McLean, VA, USA",Domestic,"McLean, VA","Balance sheet lending, agency financing, REIT/fund lending; flexible terms"
46,Coastal Bancorp,,https://www.coastalbancorp.com,Teresa Gomez,https://www.linkedin.com/company/coastalbancorp,teresa.gomez@coastalbancorp.com,+1 (480) 901-6313,Regional Bank,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CA,Domestic,"El Monte, CA",
47,Epoch Global Bank,,https://www.epochglobalbank.com,George Phillips,https://www.linkedin.com/company/epochglobalbank,george.phillips@epochglobalbank.com,+1 (520) 986-1916,Global Bank,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,"Frankfurt, Germany",Global,"Frankfurt, Germany",loan area: Global. loan value range: $5MM - $100MM. estimated book size: $2B. comment: Private bank deals only
48,Fulcrum Global Bank,,https://www.fulcrumglobalbank.com,Carmen Evans,https://www.linkedin.com/company/fulcrumglobalbank,carmen.evans@fulcrumglobalbank.com,+1 (512) 434-1525,Global Bank,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,"Us, Canada",Global,"Toronto, Canada","Financing operating businesses with 7M to 30M of EBITDA, private equity, LBOs, they do owner occupied real estate. Pros are they have a pretty broad offering, are flexible and have an appetite for large deals. Cons are that they operate as a traditional private bank in that they require cross sell and they only do things in the US and Canada (lending and collateral). They can do aircraft lending."
49,Valley Financial,,https://www.valleyfinancial.com,Edward Turner,https://www.linkedin.com/company/valleyfinancial,edward.turner@valleyfinancial.com,+1 (646) 523-7572,Regional Bank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NY, Los Angeles, CA",,,Commercial real estate loans; terms vary based on project and borrower profile
50,Highland Trust,,https://www.highlandtrust.com,Adriana Diaz,https://www.linkedin.com/company/highlandtrust,adriana.diaz@highlandtrust.com,+1 (917) 474-2084,Regional Bank,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,"Florida, Los Angeles",Global,"Miami, FL, USA",
51,Whitehall Lending,,https://www.whitehalllending.com,Peter Parker,https://www.linkedin.com/company/whitehalllending,peter.parker@whitehalllending.com,+1 (347) 416-6155,Private Credit Fund,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Austin, Texas",Domestic,"Austin, Texas","Mezzanine debt and structured preferred equity.                                     Loan Size: $4 MM - $25 MM 
Term: 1 – 5 years 
Leverage: Up to 85% 
Pricing: 1M Term SOFR + (8.0% – 15.0%) 
Accrual: Full accrual and partial cash payment. 
Amortization: Interest only 
Minimum DSCR: No requirement 
Prepayment Allowed with minimum interest payments. 
Use of Proceeds: Acquisition, Development, Transitional, Value Add, CapEx, Bridge 
Recourse: Non-recourse with standard carve-outs."
52,Xenon Finance,,https://www.xenonfinance.com,Daniela Cruz,https://www.linkedin.com/company/xenonfinance,daniela.cruz@xenonfinance.com,+1 (786) 417-9179,Private Credit Fund,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,"San Francisco, CA, USA",International,"San Francisco, CA ","Private credit, 5–10% returns, flexible terms"
53,Whitehall Credit Partners,,https://www.whitehallcreditpartners.com,Henry Edwards,https://www.linkedin.com/company/whitehallcreditpartners,henry.edwards@whitehallcreditpartners.com,+1 (954) 605-8517,Other Lender,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Montreal, QC",Global,"Montreal, QC",loan area: Canada. loan value range: $5MM - $20MM. estimated book size: $500MM. comment: Small regional bank in Montreal
54,Yorkville Capital Management,,https://www.yorkvillecapitalmanagement.com,Fernanda Collins,https://www.linkedin.com/company/yorkvillecapitalmanagement,fernanda.collins@yorkvillecapitalmanagement.com,+1 (561) 346-5339,Private Credit Fund,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,"New York, NY, USA",Global,"New York, NY, USA","loan area: global.. loan value range: $5MM - $75MM. estimated book size: $2B. comment: Focus is on higher rate, lower credit deals that banks will not consider. MX is OK"
55,Bridgewater Savings Bank,,https://www.bridgewatersavingsbank.com,Samuel Reyes,https://www.linkedin.com/company/bridgewatersavingsbank,samuel.reyes@bridgewatersavingsbank.com,+1 (818) 342-5040,Regional Bank,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CA,Domestic,"Mill Valley, CA",
56,Riverton Credit Union,,https://www.rivertoncreditunion.com,Claudia Stewart,https://www.linkedin.com/company/rivertoncreditunion,claudia.stewart@rivertoncreditunion.com,+1 (323) 962-9830,Regional Bank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SME banking: crédito PyME, factoraje (incl. internacional), arrendamiento; cuentas e inversiones con IPAB",0,0,0,0,"Mexico City, Mexico",Domestic,Mexico City,"Digital lending, short-medium term, SME focus"
57,Zenith Credit,,https://www.zenithcredit.com,Alexander Morris,https://www.linkedin.com/company/zenithcredit,alexander.morris@zenithcredit.com,+1 (949) 469-8019,Private Credit Fund,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Infrastructure & renewables private-equity funds (greenfield & brownfield),0,0,0,0,"Mexico City, Mexico",Domestic,Mexico City,"VC terms, equity-focused, early-stage"
58,Halcyon Wealth Partners,,https://www.halcyonwealthpartners.com,Lorena Morales,https://www.linkedin.com/company/halcyonwealthpartners,lorena.morales@halcyonwealthpartners.com,+1 (858) 797-7543,Global Asset Manager,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,"US, Europe, Asia, Canada",Global,"New York, NY, USA","They have an $8Bn portfolio mainly big loan on loan facilities for Mortgage Reits, AMs, insurance companies and other lenders. But they also do direct lending for big tickets $150+. They can lend in US, Europe, Asia & Canada. And are open to explore Mexico. Spreads on the 250 to 320 range. And advance rates of 70 to 75% on loan on loans."
59,Arcturus Funding,,https://www.arcturusfunding.com,Philip Murphy,https://www.linkedin.com/company/arcturusfunding,philip.murphy@arcturusfunding.com,+1 (619) 570-4593,Private Credit Fund,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,RE secured credit lines: collateral via trust,0,0,0,0,"Mexico, Florida, Texas",Domestic,Mexico City,"Bridge Lender that can finance any type of real estate .Fund - financing assets in Mexico, Florida and Texas in USD and MXN. Maximum amount is us$20M. "
60,Xenon Lending,,https://www.xenonlending.com,Mariana Cook,https://www.linkedin.com/company/xenonlending,mariana.cook@xenonlending.com,+1 (503) 341-9348,Other Lender,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"US, London, Belgium.",Global,London,"TV 50%, Size: 9-100M, Term: 2 years, SOFR +500-650 bps. Possession: Ability to take possession of the artworks.
No Conflict of Interest: Requires that the pieces are not sold through the same channels."
61,Crestview Bank,,https://www.crestviewbank.com,Antonio Rogers,https://www.linkedin.com/company/crestviewbank,antonio.rogers@crestviewbank.com,+1 (206) 705-2489,Regional Bank,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NY,Domestic,"New York, NY, USA","Strong in CRE, flexible structuring"
62,Borealis Capital Advisors,,https://www.borealiscapitaladvisors.com,Silvia Gutierrez,https://www.linkedin.com/company/borealiscapitaladvisors,silvia.gutierrez@borealiscapitaladvisors.com,+1 (404) 973-1771,Private Credit Fund,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"El Segundo, California",Domestic,California,"Minimum FICO: 680
Loan amounts from $200k - $5MM
Financed full-term interest reserves
Up to 85% LTC including interest reserve
12-, 18- and 24-month terms, interest-only
No interest charged on undrawn funds
Property types:
Attached and detached single family residential (SFR)
Townhomes
2-4 family residential
Entitled land"
63,Citadel Investment Group,,https://www.citadelinvestmentgroup.com,Francisco Ortiz,https://www.linkedin.com/company/citadelinvestmentgroup,francisco.ortiz@citadelinvestmentgroup.com,+1 (678) 312-3504,Private Credit Fund,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,"Mexico City, Mexico",Domestic,Mexico City,"SPAC terms, 2-year windows, equity-heavy"
